intake_id,nutrient_id,age_range,women_intake,men_intake,age_range_for_max,max_safe_amount,unit_of_measurement
1,3997168657,18+,700,900,18+,3000,micrograms
2,1878714002,18+,1.1,1.2,,Not known,milligrams
3,2710163100,18+,1.1,1.3,,Not known,milligrams
4,1133986306,18+,14,16,18+,35,milligrams
5,3020967742,18+,5,5,,Not known,milligrams
6,2947293078,19-50,1.3,1.3,18+,100,milligrams
7,2947293078,51+,1.5,1.7,18+,100,milligrams
8,639494358,18+,30,30,,Not known,micrograms
9,993883519,18+,400,400,18+,1000,micrograms
10,1857433120,18+,2.4,2.4,,Not known,micrograms
11,817130432,18+,75,90,18+,2000,milligrams
12,1604818068,18+,425,550,18+,3500,milligrams
13,2530167830,19-70,15,15,18+,100,micrograms
14,2530167830,71+,20,20,18+,100,micrograms
15,1198585450,18+,15,15,18+,1000,milligrams
16,2252201928,18+,90,120,,Not known,micrograms
17,2167299128,31-50,1000,1000,18+,2500,milligrams
18,2167299128,51+,1200,1200,18+,2500,milligrams
19,1698891978,19-50,2.3,2.3,,Not known,grams
20,1698891978,51-70,2.0,2.0,,Not known,grams
21,1698891978,71+,1.8,1.8,,Not known,grams
22,2254713465,31-50,25,35,,Not known,micrograms
23,2254713465,51+,20,30,,Not known,micrograms
24,1876865826,18+,900,900,18+,10000,micrograms
25,3569349903,18+,3,4,18+,10,milligrams
26,3467209591,18+,150,150,18+,1100,micrograms
27,612605248,31-50,18,8,18+,45,milligrams
28,612605248,51+,8,8,18+,45,milligrams
29,1963861803,19-30,310,400,18+,350,milligrams
30,1963861803,31+,320,420,18+,350,milligrams
31,3671906745,18+,1.8,2.3,18+,11,milligrams
32,3197984987,18+,45,45,18+,2000,micrograms
33,454860997,18+,,,,,
34,3381839458,18+,700,700,31-70,4000,milligrams
35,3381839458,18+,700,700,71+,3000,milligrams
36,376724923,14-18,2300,3000,,Not known,milligrams
37,376724923,19+,2600,3400,,Not known,milligrams
38,3780812030,18+,55,55,18+,400,micrograms
39,2797618007,18+,1500,1500,,Not determined,milligrams
40,3525253828,18+,8,11,18+,40,milligrams
41,3687625003,18+,Not established,Not established,18+,20-35% of calories (~77g),grams
42,3097368099,18+,As low as possible,As low as possible,18+,<10% of calories (~22g),grams
43,2187521773,18+,46,56,,Not established,grams
44,4204841713,18+,130,130,,Not established,grams
45,3344987277,18+,<50,<50,,Not established,grams
46,1890670572,18+,25,38,,Not established,grams
47,4188158356,18+,As low as possible,As low as possible,,<300,milligrams
48,584506779,18+,Not established,Not established,,Not established,grams
49,615906906,18+,1.1,1.6,,Not established,grams
50,3827663318,18+,12,17,,Not established,grams
51,3278907139,18+,As low as possible,As low as possible,,Not established,grams
52,1669373878,18+,2700,3700,,Not established,grams
53,2493124152,18+,<=400,<=400,18+,400,milligrams
54,2448100534,18+,<=14,<=28,18+,14g / 28g (moderate),grams
55,3659120074,18+,Not established,Not established,,Not established,milligrams
56,1468544029,18+,Not established,Not established,,Not established,milligrams
